timebin,ID,Tweet,sentscor,sentpol
2020-01-09 23:35:00,1215417372628008960,@enthusiamy Stoked. Day after I get back from a business trip so this is all Im going to do that,0.0,neu
2020-01-09 23:35:00,1215417340642226176,Should I start wearing berets?,0.0,neu
2020-01-09 23:35:00,1215417287630454787,Man I love Live Photo’s,0.3181818181818182,pos
2020-01-09 23:35:00,1215417286653173760,@aceckhouse @VTA I think they reduced the number of trips from 4 per hour to 3 per hour with the NTSP. The same thi… https://t.co/Kr0QAG2BpL,0.0,neu
2020-01-09 23:35:00,1215417148270501890,If you feel like a riot then don’t you deny it. #DoYouEvenCrowe,0.0,neu
2020-01-09 23:35:00,1215417069358837760,"AHHHHHH I need San Francisco, Santa Cruz , or San Jose Ca dates PLS WITH meet &amp; greets duh https://t.co/fI2MzwBmr4",-0.3,neg
2020-01-09 23:35:00,1215416732501696513,@jeffsaliba I made a tiktok just for u LOOL,0.0,neu
2020-01-09 23:30:00,1215416694006411264,Always bih 🥺🥺🥰 https://t.co/wo22iDfHsY,0.0,neu
2020-01-09 23:30:00,1215416678957207557,The nigga who’s music I don’t have on my phone https://t.co/mhfu5QZi7e,0.0,neu
2020-01-09 23:30:00,1215416559109230593,@408Nate Thanks for sharing!,0.2,pos
2020-01-09 23:30:00,1215416446571778048,SERIOUSLY BOLTON...YOU WARMONGER FROM HELL🤷🏼‍♂️🤦‍♂️ https://t.co/vk16WzkhUm,-0.3333333333333333,neg
2020-01-09 23:30:00,1215416378833829888,@gabemartinez6__ Did we ask???,0.0,neu
2020-01-09 23:30:00,1215416162009239552,READY FOR ROO THIS LINE UP IS SO 🔥🔥 https://t.co/SP1bzm3woF,0.2,pos
2020-01-09 23:30:00,1215416006186819584,It always feels like love when it’s infatuation then after it’s over you’re like wtf I didn’t even like you like that lmao,0.19999999999999998,pos
2020-01-09 23:30:00,1215415830156140544,For the first time in my life the longer I’m with someone the more I like them 😂😂 before it was always like the lon… https://t.co/Df3UKRy4Kh,0.375,pos
2020-01-09 23:30:00,1215415637738045440,"""Justin Trudeau says evidence indicates Ukrainian plane was shot down by Iranian forces""  https://t.co/37rZFLEEpS",-0.15555555555555559,neg
2020-01-09 23:30:00,1215415592187920385,Door Dash number 1 customer 😭🤣🤣 https://t.co/hmE4XglHBt,0.0,neu
2020-01-09 23:30:00,1215415552367161344,@H2BARbox Hair stuff! Serum and root concealer,0.0,neu
2020-01-09 23:25:00,1215415364441583617,Part 2 of today’s fridge cleaning. Don’t know what to call it (other than not attractive) but it was good. #steak… https://t.co/oBepl61vTE,0.05833333333333331,pos
2020-01-09 23:25:00,1215414996815040514,Now this place is buzzing and the smell of fresh ground coffee is amazing. (@ Voyager Craft Coffee - @craftvoyager… https://t.co/4WgmjyvTc3,0.45000000000000007,pos
2020-01-09 23:25:00,1215414483754946561,Dogs aren’t better than humans they’re just dumber which gives them a sense of innocence https://t.co/yutcVroO3y,0.5,pos
2020-01-09 23:25:00,1215414427408711680,@_iamthBest You can put me at the top of the list because playing with you was truly an honor and an experience tha… https://t.co/ZQq7cee0es,0.5,pos
2020-01-09 23:20:00,1215413969164226560,See that’s why I love @janelly_sapien can’t wait to grab lunch with her https://t.co/eHk8A9sISu,0.5,pos
2020-01-09 23:20:00,1215413966475649024,"My job is sending me to Seattle again to train for a higher position, Im so excited! Big moves only 😭",0.15625,pos
2020-01-09 23:20:00,1215413773588029440,@sukhjotkk @amanbabyy @saharlovessahar I was just messing with Sahar cause we friends... shit my bad,-0.44999999999999996,neg
2020-01-09 23:20:00,1215413720303620096,"Attention #SanFrancisco, #NCUG is coming to you! 🌁 https://t.co/rcjTTHaAkA",0.0,neu
2020-01-09 23:20:00,1215413585247117312,@RealAntipreneur @CellCoreCreativ @BusinessofImage These guys have been around for a long time and they understand… https://t.co/F7qXGVnzna,-0.05,neg
2020-01-09 23:20:00,1215413250197557248,"OMG, it kind of made me uncomfortable how much he was touching her https://t.co/x7YnP2dU5h",0.2,pos
2020-01-09 23:20:00,1215413155922210817,I don’t think I’ve ever experienced the flu like this...when will end 😩,0.8,pos
2020-01-09 23:20:00,1215413066986221568,Congrats @Stelow and team! This is wonderful to see! Thanks for all you do! #WeAreCisco https://t.co/8FSkZVCoZe,0.6,pos
2020-01-09 23:20:00,1215412988800167936,@hunchojay20 looks like i need to get me a juanito,0.0,neu
2020-01-09 23:15:00,1215412567088041984,@bhadkev sending positive vibes ✨✨✨ love u!,0.36363636363636365,pos
2020-01-09 23:15:00,1215412134177320961,Further proof that storytelling is alive and well in the branding game.,-0.10000000000000002,neg
2020-01-09 23:15:00,1215412127982243840,@suumiiii_ Jk I love you didi,0.5,pos
2020-01-09 23:15:00,1215412044578476032,"Which, if you remember Boyz II Men prior to them being on All That seemingly every weekend, you’re probably approac… https://t.co/oFENVY7PO2",0.0,neu
2020-01-09 23:10:00,1215411639379361793,@spookymuva_ I’m a 2! I want to buy this book so I can see my pages lol!,0.8,pos
2020-01-09 23:10:00,1215411492968755200,@hotworkofficial @FeministEmiIy What the fuck!?!,-0.4,neg
2020-01-09 23:10:00,1215411080345767936,@hikaylamarie lmk when ur free😌,0.4,pos
2020-01-09 23:10:00,1215411013492731905,If I invite yall over and I’m serving spaghetti and frijoles are y’all gonna make a plate? https://t.co/HutgBpFEFG,0.0,neu
2020-01-09 23:10:00,1215410975387439104,Better run better run out run my gun.,0.5,pos
2020-01-09 23:10:00,1215410941568806913,"@frangeladuo “Hmmm” - every Arby’s worker in Kirksville, MO, whenever someone comes in and pays with a gift card -… https://t.co/35YECVEsRX",0.0,neu
2020-01-09 23:10:00,1215410895582420992,All the other kids with the pumped kicks.,-0.125,neg
2020-01-09 23:10:00,1215410875261022208,If I answer yo phone call I fwu cus I really be ignoring mfs,0.2,pos
2020-01-09 23:10:00,1215410875261022208,If I answer yo phone call I fwu cus I really be ignoring mfs,0.2,pos
2020-01-09 23:10:00,1215410875261022208,If I answer yo phone call I fwu cus I really be ignoring mfs,0.2,pos
2020-01-09 23:10:00,1215410586818924544,@germainstdenis @ryanfoland @DejanMadjoski @DitchTheAct Moonwalking Dude.... https://t.co/Z9NPiWrWBI,0.0,neu
2020-01-09 23:10:00,1215410501250740224,We made it!! Jiya baby is ONE! 😭 https://t.co/nCxR4VLILN,0.0,neu
2020-01-09 23:10:00,1215410481885638657,Spring break !!!!!,0.0,neu
2020-01-09 23:10:00,1215410479419379712,If you listen to Russ please unfollow me,0.0,neu
2020-01-09 23:05:00,1215410247344373760,Some girls like guys with beards. Because they can't stand to see a man with skin smoother than theirs.,0.0,neu
2020-01-09 23:05:00,1215410086148919297,Stay hungry.,0.0,neu
2020-01-09 23:05:00,1215410078691364864,I’m fuckin sick of this construction by my house bruh,-0.7142857142857143,neg
2020-01-09 23:05:00,1215410044478484480,The Neptunes back? https://t.co/daOxZSZvoy,0.0,neu
2020-01-09 23:05:00,1215409984093077504,@blast97_ 17 bucks no mames,0.0,neu
2020-01-09 23:05:00,1215409949938872322,@SaucedLee @Its_Philip can i watch live,0.13636363636363635,pos
2020-01-09 23:05:00,1215409900722913280,l a u n d r y,0.0,neu
2020-01-09 23:05:00,1215409888563621888,@cloudiabelen White has nothing to do with it!! Quit trying to make it racial.  I am tired of people dividing us ov… https://t.co/6gpgFCgma3,-0.2,neg
2020-01-09 23:05:00,1215409861543903232,@indigo_aliens @awonderland Yup😂 I was like this waiting https://t.co/RFTGzzQuNd,0.0,neu
2020-01-09 23:05:00,1215409861401309185,I went grocery shopping specifically for milk and got everything except milk... this is adulting,0.0,neu
2020-01-09 23:05:00,1215409705704550400,LMAOOOOOO I’m hot I lost my Myspace info https://t.co/ctcyI4I36p,0.25,pos
2020-01-09 23:05:00,1215409661056290817,"Having some fresh pasta made up. (@ San Pedro Square Market Bar in San Jose, CA) https://t.co/gJmgx0MQJT https://t.co/57tdvpTbB9",0.3,pos
2020-01-09 23:05:00,1215409409129472001,Beach weather :),0.0,neu
2020-01-09 23:05:00,1215409400740896770,The universe and its mercies are interesting,0.5,pos
2020-01-09 23:05:00,1215409399935586304,I may feel incredibly and hopelessly unstable this week but!!!!! My hair has looked amazing,0.75,pos
2020-01-09 23:05:00,1215409271287898113,"i hope everyone appreciates this song, i’ve been listening to it almost everyday since september and it’s one of my… https://t.co/DUCgPEdbPw",-0.2,neg
2020-01-09 23:00:00,1215409024482476032,"In middle school I drew my homie as a chibi character. Mrs. Johnson saw it, called my parents and gave me detention… https://t.co/ornwLErusc",0.0,neu
2020-01-09 23:00:00,1215408889006411777,@_iamthBest It also takes leadership my G. I’m confident that I’m not the only one that feels like you set a standa… https://t.co/YNDlcMYUce,0.25,pos
2020-01-09 23:00:00,1215408773738577920,@masua00 These are tough tbh but i wish these had a leather upper,-0.19444444444444445,neg
2020-01-09 23:00:00,1215408616930365440,Your whole life is joke shut up sumi https://t.co/Xus40UfmXg,0.2,pos
2020-01-09 23:00:00,1215408553214631936,Wow I went from being an anxious mess on the verge of breaking down this morning to flipping a complete 180 and being so happy. BLESS UP 🙏🏻,0.06990740740740742,pos
2020-01-09 23:00:00,1215408221361324032,in need of a @calciumdubs set,0.0,neu
2020-01-09 23:00:00,1215408069611384834,@TopsznAnu I also seen him try tweeting Dak Better off my phone. Kids these days smh,0.5,pos
2020-01-09 23:00:00,1215407907077947393,You have my heart and my titties 🤍 https://t.co/PKagG18Sla,0.0,neu
2020-01-09 22:55:00,1215407896273440769,@positivepasties @stuckinstoned @angieee64 @vibinviv I’m such an inspiration😂,0.0,neu
2020-01-09 22:55:00,1215407512922382337,@OriginalBayArea Walk in fridge is an underrated life.goal man. Between that and a 10000 dollar Japanese toilet else do I even need?,-0.016666666666666666,neg
2020-01-09 22:55:00,1215407205446369280,@tj_dipped Faaaaact 🤣🤣🤣🤣🤣🤣,0.0,neu
2020-01-09 22:55:00,1215407179890479105,Life really be hitting out of nowhere,0.2,pos
2020-01-09 22:55:00,1215407086965678080,Lmao I forgot I applied to schools but I just got accepted to my first one 🥳,0.425,pos
2020-01-09 22:55:00,1215407081479495680,This video go crazy!! 🔥🔥🔥👀 @LSUfootball https://t.co/wNVNdLMgKs,-0.6,neg
2020-01-09 22:55:00,1215407020204933121,She flamed every single one of them😂😂 https://t.co/MlVAmLDNY5,-0.07142857142857142,neg
2020-01-09 22:55:00,1215406978140442625,"I'm at Norman Y. Mineta San Jose International Airport - @flysjc in San Jose, CA https://t.co/ZrfBMi5sN3",0.0,neu
2020-01-09 22:55:00,1215406905679466496,@positivepasties @angieee64 @vibinviv DO IT!!!!,0.0,neu
2020-01-09 22:50:00,1215406604767514624,@malydeve You’re welcome!! You’ve been added to my favorite glovers list and people continue to inspire me to glove,0.65,pos
2020-01-09 22:50:00,1215406575700996096,"@saiIoraquarius They have them, and I usually wipe down everything before/after I use it anyways, yesterday I was t… https://t.co/emNsxR0tav",-0.20277777777777778,neg
2020-01-09 22:50:00,1215406572207132672,@TopsznAnu Wasn’t me . Emmitt hacked my phone when I went to the restroom,0.0,neu
2020-01-09 22:50:00,1215406501008900096,Sunday's Setlist 1/12/20  https://t.co/Ec1mkvlNTW,0.0,neu
2020-01-09 22:50:00,1215406349976129538,I get a 1 hr lunch break and that shit goes by so fast. It be feeling like a 15.,0.0,neu
2020-01-09 22:50:00,1215406243994468352,"I just voted for the Pepsi Rookie of the Year! Fans pick the winner, so go vote! https://t.co/yOJK4VPiOF via @nfl @iAM_JoshJacobs",0.0,neu
2020-01-09 22:50:00,1215406196800180225,@gkittle46 No cap!,0.0,neu
2020-01-09 22:50:00,1215406160993382400,The best #reminder #ThursdayThoughts #ThursdayMotivation #thankful #BlessedAndGrateful https://t.co/cJFV8c10ES,1.0,pos
2020-01-09 22:50:00,1215406133671649280,Days off are never really days off when you’re giving your house a good cleaning 😪,0.3,pos
2020-01-09 22:50:00,1215405984283152384,"in the end I’m blessed regardless , all love 💜",0.5,pos
2020-01-09 22:50:00,1215405812698337280,@dereksteez Oh shoot @buddythechud @SensesFail,0.0,neu
2020-01-09 22:50:00,1215405692070199297,"I just voted for the Pepsi Rookie of the Year! Fans pick the winner, so go vote! https://t.co/yOJK4VPiOF via @nfl",0.0,neu
2020-01-09 22:50:00,1215405488826769408,@PoundstoneInst Hot news from the latest Appliance Retailer! https://t.co/lbmm4IQHKX,0.375,pos
2020-01-09 22:45:00,1215405313068679168,@munchloveee Just wanna give the people the content they deserve 🤷🏻‍♂️ https://t.co/LtzQuxwSrW,0.0,neu
2020-01-09 22:45:00,1215405224770170880,@ContentNBA Gotta call this out though... Refs missed a travel call on Tristan Thompson with one second left in the… https://t.co/uDwmiuyaTT,0.0,neu
2020-01-09 22:45:00,1215405187587702784,@ThinkBiggerSJ There's an old Safeway location looking to be used...,0.1,pos
2020-01-09 22:45:00,1215405187583496193,Today many #NDSJ students completed a series of optional #LifeSkills workshops offered the past few months. Topics… https://t.co/kdja84FFgv,0.016666666666666663,pos
2020-01-09 22:45:00,1215404950986973184,"@good_vibes9 Omg you must have been in so much pain 😢😥 
And your parents were probably like wtf Vic 💀",-0.15,neg
2020-01-09 22:45:00,1215404865674809352,@408Nate That's like half the calories of a standard burrito,-0.08333333333333333,neg
2020-01-09 22:45:00,1215404760087445504,"@JonathanAdams The internet tells me it’s only open three days a week, not when I’m there :(",0.0,neu
2020-01-09 22:45:00,1215404670807506945,@Viv_Scully It’s only the beginning much more to learn,0.25,pos
2020-01-09 22:45:00,1215404619506937857,@Jacqueezus Lmao I went 2-2 . Got Pats and Saints wrong. Like ain’t no way in hell I thought they were gonna lose 😂,0.04999999999999999,pos
2020-01-09 22:45:00,1215404522886971392,Y’all are shameful asf https://t.co/iuWM4vRR0Q,0.0,neu
2020-01-09 22:45:00,1215404467140431872,@newballpark @Nicosan1 Sounds like something the community can bring up. Two bridge crossings seems fines. Adding l… https://t.co/R2mVDZkVzw,0.0,neu
2020-01-09 22:45:00,1215404394595803137,@gabsawesome1 omg gabbieeeee!!!!! My heart!! 🥺🥰,0.0,neu
2020-01-09 22:45:00,1215404300295258114,ion’t got time,0.0,neu
2020-01-09 22:45:00,1215404274412183552,You and @fvckindaniell need to stop working at that bumb ass restaurant https://t.co/lfDAH1wqRo,0.0,neu
2020-01-09 22:40:00,1215403940340088832,"Fascinating audio recording I just stumbled on in guitar research of one of my fav guitar hero greats,… https://t.co/Ldw0hGd9wg",0.7,pos
2020-01-09 22:40:00,1215403877496868871,"Chiefs/Ravens/49ers/Seahawks.
If I get one of these picks wrong this weekend I’m never watching football again",-0.5,neg
2020-01-09 22:40:00,1215403795179438080,$900 per year refund for a baby that’s gonna cost you a milli.  Think my friend think 😂 https://t.co/RrKOl7OKak,0.0,neu
2020-01-09 22:40:00,1215403599070515207,@TRENDYBENNY If I don’t get bottle service for Banda night today I’ll give it to you,0.0,neu
2020-01-09 22:40:00,1215403454446727169,I hate a “let me get involved” ass mf like these clowns https://t.co/qntVT4QqwS,-0.8,neg
2020-01-09 22:40:00,1215403292555005952,@Viv_Scully Lmao that’s real selfish,-0.07500000000000001,neg
2020-01-09 22:40:00,1215403250569973760,Excuse me🤔 https://t.co/RvzWykFdsX,-0.05,neg
2020-01-09 22:40:00,1215403017261838336,@390rigo YES MAKE ME AN AUNTIEEE 🤝🥳,0.0,neu
2020-01-09 22:35:00,1215402829562560512,@redalertnow The hockey pokey,0.0,neu
2020-01-09 22:35:00,1215402710117253120,"The ULTIMATE throwback in black &amp; white (to show that time has passed). 
.
.
.
📸 by the incomparable… https://t.co/rdEqdMPF2L",0.05833333333333334,pos
2020-01-09 22:35:00,1215402492046929921,@Goon_Donovan23 You’re a fool 😂,0.0,neu
2020-01-09 22:35:00,1215402355534921729,"Nope not gonna fool me, not opening it https://t.co/9wm5sWtXbi",0.0,neu
2020-01-09 22:35:00,1215402258793295872,@theboss_man19 It happens😂😂,0.0,neu
2020-01-09 22:35:00,1215402225775677440,@KlinkhamerSue @RepAdamSmith @jaketapper He's a Dem. That's been declared Racist,0.0,neu
2020-01-09 22:35:00,1215402198055579650,For all the noise from other students on days where I was quiet afff like ??? https://t.co/mBFKqFbORN https://t.co/B1GX7ZvA55,-0.0625,neg
2020-01-09 22:35:00,1215402022691672067,Let’s gooooo! Can’t wait for game day!!! https://t.co/JUQRIF5AxG,-0.4,neg
2020-01-09 22:35:00,1215402018535116801,"It’s addicting, no bueno https://t.co/89843gz5LL",0.0,neu
2020-01-09 22:35:00,1215401813270073345,I should look it up but I'm lazy. Does voxer still exist? Maybe we should hype it up and bring it back. I liked it… https://t.co/cFtbCNvSoc,0.11666666666666665,pos
2020-01-09 22:35:00,1215401800024506368,"@RepAdamSmith What you really mesns is: Until the Senate agrees to convict Trump &amp; remove him from office, we will… https://t.co/serMdLF5dj",0.2,pos
2020-01-09 22:35:00,1215401768894418944,Love when the haters say stop dancing and focus lmao! NO ILL NEVER STOP BEING ME! AND HAVING FUN WITH IT! https://t.co/yvdoKOS85Y,0.41250000000000003,pos
2020-01-09 22:30:00,1215401602783170560,SHOP MY DEPOP 🦋 @ jvsminescloset 🦋 EVERYTHING IS BUY 2 GET 1 FREE SO SAVE ON BUNDLES 💕 https://t.co/rJYoCDH33p,0.4,pos
2020-01-09 22:30:00,1215401598530097152,@49ersSportsTalk @CBSSports @OldTakesExposed Forty-Niners have scored 16 points or less — ONCE this season. A 9-poi… https://t.co/JgpL9n8YeA,-0.16666666666666666,neg
2020-01-09 22:30:00,1215401520302190593,"Defending my friend who was being bullied.  I didn't even touch the bully but I got suspended for ""threatening"" the… https://t.co/O6ZRY0OvKw",0.0,neu
2020-01-09 22:30:00,1215401373811888130,Great article on how @garysheffield could be in the @baseballhall which he should be. #Voters please do the right t… https://t.co/MX5DJw8XFX,0.5428571428571429,pos
2020-01-09 22:30:00,1215401363540074497,"First world problem to the extreme:
Remember to bring a wireless charge bank to charge my shoes so I don’t have to… https://t.co/fKQQnjVBxU",0.0625,pos
2020-01-09 22:30:00,1215401357441564672,"If I must work out of the neighborhood, I gotta at least have the neighborhood vibes -  @Somosgentesj serving the c… https://t.co/muocDpCp6g",-0.3,neg
2020-01-09 22:30:00,1215401353402404865,@saiIoraquarius Agreed. Used gum anywhere is never welcomed. Don’t get me started on the ones that don’t towel off… https://t.co/pHWAJTWG1S,0.0,neu
2020-01-09 22:30:00,1215401219012755461,When I’m 40 I rather say I gave it my all rather than regretting anything..,0.0,neu
2020-01-09 22:30:00,1215400752069275649,@jomcnultie go with me when they tour again,0.0,neu
2020-01-09 22:30:00,1215400647580737536,@trap_soullll @CannedBeanz_ @uhhhlyssaxo We appreciate you❤️,0.0,neu
2020-01-09 22:25:00,1215400321716899841,@SaucedLee @Its_Philip make this a reality show,0.0,neu
2020-01-09 22:25:00,1215400210030944256,Was doing some serious cleaning out of my closet (judging from all the boxes behind me stuffed with clothes to dona… https://t.co/g76Hw2tex5,-0.3666666666666667,neg
2020-01-09 22:25:00,1215400203504644101,@carpooltunnelca Indeed,0.0,neu
2020-01-09 22:25:00,1215400078078181376,@Simon_Vidaaal Thanks brotha!,0.2,pos
2020-01-09 22:25:00,1215399992426262528,Sorry won't turn back the clock,-0.25,neg
2020-01-09 22:25:00,1215399992426262528,Sorry won't turn back the clock,-0.25,neg
2020-01-09 22:25:00,1215399987447652352,Last night was wow. I never thought I would be in that situation 🥺,0.05,pos
2020-01-09 22:25:00,1215399968971743232,"Week away...any recommendations for Zion, Bryce Canyon, or the Salt Lake area?",0.0,neu
2020-01-09 22:25:00,1215399587352993792,"I’m so excited, I’m taking Arella to her very FIRST Sharks game tonight!! 🤩",0.09999999999999998,pos
2020-01-09 22:25:00,1215399565131579392,@lizfuentezz @TookbyJonathan Dm eachother already 🤪🙈,0.0,neu
2020-01-09 22:25:00,1215399551277756416,@trap_soullll @CannedBeanz_ @uhhhlyssaxo Me too🥰,0.0,neu
2020-01-09 22:25:00,1215399455043682306,@Rudyvlns Sorry if i acted like a real Jonathan,-0.15,neg
2020-01-09 22:25:00,1215399397200056320,We love Snapchat memories https://t.co/tJhNqCw6dx,0.5,pos
2020-01-09 22:25:00,1215399220925984768,"""People remember how you made them feel""",0.0,neu
2020-01-09 22:20:00,1215399092836159488,"@JMaiSenpai @helloitlisa ***teaser 

Could be my thumb 

or Lisa’s toe 🧐 https://t.co/LCiCcy0WJz",0.0,neu
2020-01-09 22:20:00,1215398855753326592,"I can’t dance, but still vote for me! 😂❤️🕺🏼 https://t.co/2bqN2OHCLi",0.0,neu
2020-01-09 22:20:00,1215398853295235072,"PLEASE check your friends when they say this, thanks. https://t.co/N9GJ23c5TC",0.2,pos
2020-01-09 22:20:00,1215398821598916608,This place is a vibe https://t.co/eQkHOWtB7c,0.0,neu
